 &plot nbnd=  50, nks=    81 /
    7.112    8.515    8.522    9.562   11.193   11.784   11.838   12.591   13.138   13.388
            0.314327  0.314327  0.000000
  -22.196  -22.080  -22.080  -22.044  -21.137  -21.130  -21.129  -21.102   -7.078   -7.028
   -6.992   -6.917   -6.253   -6.211   -6.002   -5.994   -5.614   -5.614   -5.482   -5.456
   -5.368   -5.354   -5.221   -5.068   -2.269   -2.242   -2.232   -2.006   -1.945   -1.940
   -1.901   -1.845    6.133    6.139    6.220    6.336    6.713    6.746    6.838    6.991
    7.094    8.422    8.430    9.470   11.153   11.745   11.798   12.477   13.190   13.391
            0.342902  0.342902  0.000000
  -22.180  -22.085  -22.085  -22.050  -21.135  -21.128  -21.128  -21.106   -7.077   -7.031
   -6.995   -6.939   -6.222   -6.202   -6.032   -5.979   -5.656   -5.604   -5.499   -5.416
   -5.340   -5.325   -5.264   -5.088   -2.234   -2.205   -2.191   -2.016   -1.960   -1.950
   -1.921   -1.872    6.124    6.162    6.265    6.307    6.754    6.816    6.903    6.977
    7.075    8.338    8.347    9.330   11.156   11.710   11.761   12.355   13.244   13.396
            0.371477  0.371477  0.000000
  -22.165  -22.090  -22.090  -22.056  -21.134  -21.127  -21.127  -21.110   -7.072   -7.033
   -6.997   -6.959   -6.196   -6.195   -6.062   -5.973   -5.683   -5.593   -5.511   -5.381
   -5.318   -5.300   -5.295   -5.109   -2.201   -2.171   -2.153   -2.025   -1.979   -1.963
   -1.937   -1.900    6.122    6.163    6.279    6.285    6.796    6.850    6.968    7.047
    7.072    8.264    8.273    9.150   11.197   11.681   11.727   12.226   13.298   13.404
            0.400052  0.400052  0.000000
  -22.150  -22.094  -22.094  -22.064  -21.132  -21.126  -21.126  -21.114   -7.064   -7.034
   -6.998   -6.977   -6.191   -6.173   -6.084   -5.991   -5.683   -5.582   -5.520   -5.377
   -5.328   -5.280   -5.268   -5.132   -2.169   -2.141   -2.118   -2.031   -1.998   -1.975
   -1.954   -1.927    6.125    6.162    6.253    6.276    6.837    6.883    6.963    7.033
    7.268    8.201    8.211    8.942   11.265   11.658   11.697   12.094   13.351   13.417
            0.428627  0.428627  0.000000
  -22.135  -22.097  -22.097  -22.073  -21.130  -21.125  -21.125  -21.117   -7.053   -7.034
   -7.001   -6.993   -6.182   -6.155   -6.099   -6.026   -5.660   -5.572   -5.528   -5.421
   -5.301   -5.256   -5.247   -5.157   -2.138   -2.114   -2.089   -2.034   -2.017   -1.988
   -1.971   -1.952    6.135    6.163    6.229    6.253    6.875    6.912    6.960    7.012
    7.493    8.152    8.160    8.714   11.354   11.643   11.672   11.960   13.401   13.436
            0.457202  0.457202  0.000000
  -22.120  -22.099  -22.099  -22.083  -21.128  -21.125  -21.125  -21.120   -7.040   -7.031
   -7.007   -7.006   -6.166   -6.142   -6.111   -6.068   -5.621   -5.563   -5.537   -5.472
   -5.270   -5.238   -5.232   -5.183   -2.108   -2.091   -2.069   -2.036   -2.030   -1.999
   -1.989   -1.974    6.151    6.169    6.208    6.225    6.910    6.935    6.959    6.990
    7.732    8.119    8.125    8.473   11.459   11.634   11.653   11.827   13.449   13.463
            0.485777  0.485777  0.000000
  -22.107  -22.100  -22.100  -22.094  -21.126  -21.125  -21.125  -21.123   -7.028   -7.026
   -7.017   -7.016   -6.141   -6.130   -6.120   -6.108   -5.574   -5.554   -5.545   -5.524
   -5.240   -5.227   -5.225   -5.211   -2.081   -2.074   -2.065   -2.057   -2.015   -2.005
   -2.002   -1.995    6.172    6.178    6.191    6.197    6.940    6.949    6.956    6.966
    7.978    8.103    8.105    8.226   11.575   11.633   11.640   11.698   13.494   13.496
            0.514353  0.514353  0.000000
  -22.107  -22.100  -22.100  -22.094  -21.126  -21.125  -21.125  -21.123   -7.028   -7.026
   -7.017   -7.016   -6.141   -6.130   -6.120   -6.107   -5.574   -5.554   -5.545   -5.524
   -5.240   -5.227   -5.225   -5.211   -2.081   -2.074   -2.065   -2.056   -2.015   -2.005
   -2.002   -1.995    6.171    6.178    6.191    6.197    6.940    6.949    6.956    6.966
    7.977    8.103    8.105    8.227   11.574   11.633   11.640   11.699   13.494   13.496
            0.542928  0.542928  0.000000
  -22.120  -22.099  -22.099  -22.083  -21.128  -21.125  -21.125  -21.120   -7.040   -7.031
   -7.007   -7.006   -6.166   -6.142   -6.111   -6.068   -5.621   -5.563   -5.537   -5.472
   -5.270   -5.238   -5.232   -5.183   -2.108   -2.091   -2.069   -2.036   -2.030   -1.999
   -1.989   -1.974    6.151    6.169    6.208    6.225    6.909    6.934    6.959    6.990
    7.731    8.119    8.125    8.474   11.458   11.634   11.653   11.828   13.449   13.462
            0.571503  0.571503  0.000000
  -22.135  -22.097  -22.097  -22.073  -21.130  -21.125  -21.125  -21.117   -7.053   -7.034
   -7.001   -6.993   -6.182   -6.156   -6.099   -6.026   -5.660   -5.572   -5.528   -5.421
